10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: TehFunrun~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-a204e65775b969c5-27x27.png
10:39:11.309 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: UleetBackup~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-5342e829290d1af0-17x27.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: ArsonNoSexy~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-e13a8382e40b19c7-18x27.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: SMSkull~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-50b9867ba05d1ecc-24x24.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: SMOrc~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-9f276ed33053ec70-32x32.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: MVGame~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-1a1a8bb5cdf6efb9-24x32.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: Wentinel~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-leveluplive-emoticon-495c47170bc7e74c-20x30.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: Onlinetony~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-leveluplive-emoticon-26fccc376cb881c7-24x30.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: Eliver~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-leveluplive-emoticon-98737319a4105546-22x30.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: waffleD~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-0861d44590369b7d-60x30.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: emdBear~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-45ef2cc29c62f908-28x28.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: lionSalt~http://static-cdn.jtvnw.net/jtv_user_pictures/emoticon-4099-src-a6cc28fe2e842e8a-28x28.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: b0lleRuffe~http://static-cdn.jtvnw.net/jtv_user_pictures/emoticon-26174-src-b076cffc63b20dac-28x28.png
10:39:11.310 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: ninaWat~http://static-cdn.jtvnw.net/jtv_user_pictures/emoticon-13392-src-1c9966e7dd2e6ad9-28x28.png
